"KEY","ENGLISH","FRENCH","SPANISH"
"common.btn.submit","Submit","Remise de travail","Enviar"
"common.btn.submitindicators","Submit Indicators","Remettre des indicateurs","Enviar indicadores"
"common.btn.undelete","undelete",,"no borrar"
"common.btn.view","View","Visionner","Ver"
"common.choice.all","All","Selectionner le tout","Todos"
"common.choice.exclude","Exclude Selected","Exclusion selectionnée","Excluir selección"
"common.choice.include","Include Selected","Inclusion selectionnée","Incluir selección "
"common.choice.notoverdue","Not Overdue","Non exigible","Sin retraso"
"common.choice.onlyselected","Only Selected","Uniquement sélectionné","Sólo seleccionados"
"common.choice.overdue","Overdue","Exigible","Atrasado"
"common.err.attachment.missed","The attached file is missing from the data store. Please contact system administrator!","Le fichier joint a disparu de la mémoire de données. Veuillez contacter l'administrateur du système!","No se encuentra el archivo adjunto en la base de datos. Por favor ponte en contacto con el administrador del sistema."
"common.err.badparam","Invalid parameters!","Paramètres non valides","¡Parámetros inválidos!"
"common.err.badparam.section","Bad parameter section!","Section erronée de paramètre !","¡Sección de parámetros inválidos!"
"common.err.badparam.source","Bad parameter source!","Source erronée de paramètre  !","¡Fuente de parámetros inválida!"
"common.err.data.notexisted","{0} does not exist: {1}!","{0}: n'existe pas {1} !","¡{0} no existe: {1}!"
"common.err.exceed.max.filesize","Exceeds max file size. Note, the permitted max file size is 30M!","Fichier au-delà de la limite maximale. Remarque: le volume maximal permis d'un fichier est de 30M","Excede el tamaño máximo de archivos. Nota: ¡el tamaño máximo permitido es 30 M!"
"common.err.internal.server","Internal server error/exception occurs. Please contact your administrator!","Erreur du serveur interne / Il se produit une exclusion. Veuillez contacter votre administrateur  ","Ha ocurrido una excepción o un error interno en el servidor. Por favor ponte en contacto con el administrador del sistema."
"common.err.invalid.answer.value","Invalid answer value!","Valeur de réponse indéterminée !","¡Valor de respuesta inválido!"
"common.err.invalid.parameter","Invalid request: parameter ""{0}"" is not specified!","Requête non determinée: ""{0}"" n'est pas spécifié !","Solicitud inválida: ¡no se ha especificado el parámetro ""{0}""!"
"common.err.invalid.parameter.unrecongnized","Invalid parameter: ""{0}"" is unrecongnized!","Paramètre invalide: ""{0}"" n'est pas reconnu !","Parámetro inválido: ¡no se reconoce ""{0}""!"
"common.err.invalid.user","Log in failed!","Ouverture de session avortée","¡Error al ingresar!"
"common.err.invaliduser","Invalid username!","Nom d'utilisateur non valide","¡Nombre de usuario inválido!"
"common.err.must_choose_product","Please choose a product",,"Haga clic para elegir producto"
"common.err.notfind.answer","Can not find survey answer!","Impossible de trouver de réponses au sondage !","¡No encuentro la respuesta a la encuesta!"
"common.err.notfind.ref","Can not find reference!","Impossible de trouver les références !","¡No puedo encontrar las referencias!"
"common.err.notfind.surveyindicator","Can not find survey indicator!","Impossible de trouver l'indicateur du sondage !","¡No puedo encontrar los indicadores de la encuesta!"
"common.err.notfindcountry","Cannot get country name!","Impossible d'obtenir le nom du pays","¡No se encuentra el nombre del país!"
"common.err.notfindquestion","Cannot find survey question!","Impossible de trouver la question du sondage !","¡No se encuentra la pregunta de la encuesta!"
"common.err.nocomment","Please enter comment!",,
"common.filter.clickclose","click to close filter",,"Haz clic para cerrar el filtro"
"common.filter.clickopen","click to open filter",,"Haz clic para abrir el filtro"
"common.js.alert.answerleft","You have {0} answers left which have not been reviewed!","Il vous reste {0} réponses qui n'ont pas été révisées","¡Tienes {0} respuestas sin revisar!"
"common.js.alert.askinputsource","Please input source information!","Veuillez citer la source de votre information ! ","¡Por favor ingresa una fuente de información!"
"common.js.alert.askopinions","Please provide your opinions!","Veuillez donner votre opinion !","¡Por favor envía tus opiniones!"
"common.js.alert.askscoreoption","Please choose a score option!","Veuillez choisir une option de qualification ! ","¡Por favor escoge una opción de calificación!"
"common.js.alert.asksoucedesc","Please input source description!","Veuillez citer la description de votre source d'information ","¡Por favor ingresa una descripción de la fuente!"
"common.js.alert.attachdesc","Are you sure you don't want to specify the description for the attached file {0}?","Êtes-vous sûr de ne pas vouloir spécifier la description du ficher envoyé en pièce jointe {0} ?","¿Estás seguro de que no deseas especificar la descripción del archivo que adjuntaste {0}?"
"common.js.alert.attachduplicated","{0} has already been uploaded","{0} a déjà été téléchargé en amont ","Hasta ahora {0} han sido subidos "
"common.js.alert.attachfail","Fail to add attachment file {0}.","Fichier en pièce jointe non envoyé {0}","Error al adjuntar archivo {0}."
"common.js.alert.attachfile","You MUST specify an attached file!","Il est obligatoire de spécifier un fichier envoyé en pièce jointe !","¡Debes especificar un archivo adjunto!"
"common.js.alert.choicesource","Please choose a source!","Veuillez selectionner une source d'information !","¡Por favor ingresa una fuente!"
"common.js.alert.comments","Please enter your comments!","Veuillez introduire vos commentaires","¡Por favor ingresa tus comentarios!"
"common.js.alert.confirmpasswdempty","Confirm password cannot be empty!","La case de confirmation du code d'accès doit être obligatoirement remplie !","¡Confirmar nueva contraseña; no puede quedar vacía!"
"common.js.alert.curpasswdempty","Current password cannot be empty!","La case du code d'accès actuel doit être obligatoirement remplie","¡La contraseña actual no puede quedar vacía!"
"common.js.alert.deleteattach","The attachment file {0} will be deleted. Are you sure?","Le fichier en pièce jointe {0} sera supprimé. Voulez-vous continuer ?","El archivo adjunto {0} será borrado. ¿Estás seguro?"
"common.js.alert.deleteattachfail","ERROR: fail to delete the attachment!","Erreur: Fichier en pièce jointe non supprimé","Error: no se pudo borrar el archivo adjunto."
"common.js.alert.descempty","Description is empty!","La case de description n'a pas été remplie !","¡La descripción está vacía!"
"common.js.alert.enhancedtext","Please input your enhanced text!","Veuillez introduire votre texte amélioré","¡Por favor ingresa tu texto mejorado!"
"common.js.alert.exceedwords","This text is currently <span style='font-weight: bold; color: orange;'>{0}</span> words long. This exceeds the maximum word count of <span style='font-weight: bold; color: orange;'>{1}</span>. Your work has not been submitted. Please revise the text and resubmit your work.","Le texte actuel est  <span style='font-weight: bold; color: orange;'>{0}</span> words long. Ceci excède le comptage maximum de mots <span style='font-weight: bold; color: orange;'>{1}</span>. Votre travail n'a pas été reçu. Veuillex revoir le texte et remttre à nouveau votre travail. ","Este texto tiene actualmente una extensión de <span style='font-weight: bold; color: orange;'>{0}</span> palabras. Esto excede el conteo máximo de palabras de <span style='font-weight: bold; color: orange;'>{1}</span>. Su trabajo no ha sido enviado. Por favor revise el texto y reenvíe su trabajo."
"common.js.alert.fileexisted","This file already exists.","Ce fichier existe déjà","Este archivo ya existe."
"common.js.alert.filenotadded","The selected file {0} hasn't been added into the attachment list. Do you want to add it now?","Le fichier sélectionné {0} n'a pas été annexé à la liste de pièces jointes. Désirez-vous l'ajouter maintenant?","El archivo seleccionado {0} no ha sido agregado a la lista de adjuntos. ¿Deseas añadirlo ahora?"
"common.js.alert.incompletedquestion","Your questions have not been answered yet.
Are you sure you have completed the assignment and want to submit now?","Vos questions n'ont pas encore reçu de réponse. Êtes-vous  d'avoir terminé le travail assigné et voulez-vous l'envoyer maintenant ? ","Tus preguntas aún no han sido respondidas."
"common.js.alert.inputanswer","Please input your answer!","Veuillez introduire votre réponse","¡Por favor ingresa su respuesta!"
"common.js.alert.invalidimage","Invalid image type! The supported image type are: {0}","Type d'illustration non valide ! Le type d'illustration complémentaire est: {0}","¡Tipo de imagen inválido! El tipo de imagen que soporta es: {0}"
"common.js.alert.lesswords","This text is currently <span style='font-weight: bold; color: orange;'>{0}</span> words long.  This is below the minimum word count of <span style='font-weight: bold; color: orange;'>{1}</span>.  Your work has not been submitted. Please revise the text and resubmit your work.","Ce texte actuel est <span style='font-weight: bold; color: orange;'>{0}</span> words long.  Ceci est inférieur au comptage minimum de  <span style='font-weight: bold; color: orange;'>{1}</span> words long. Votre travail n'a pas été reçu. Veuillez revoir le texte renvoyer votre travail.  ","Este texto tiene actualmente una extensión de <span style='font-weight: bold; color: orange;'>{0}</span> palabras. Esto se encuentra por debajo del conteo mínimo de palabras de <span style='font-weight: bold; color: orange;'>{1}</span>. Su trabajo no ha sido enviado. Por favor revise el texto y reenvíe su trabajo."
"common.js.alert.needonesource","Please choose at lease one source!","Veuillez choisir au moins une source ! ","¡Por favor ingresa al menos una fuente!"
"common.js.alert.newpasswdempty","New password cannot be empty!","La case du nouveau code d'accès doit être obligatoirement remplie","¡La nueva contraseña no puede quedar vacía!"
"common.js.alert.noassigneduser","Assigned user is not selected!","l'utilisateur assigné n'a pas été sélectionné !","¡No se ha seleccionado un usuario asignado!"
"common.js.alert.nocasebody","Case body is empty!","Le corps de l'affaire n'est pas indiqué","¡El cuerpo del caso está vacío!"
"common.js.alert.nocasesubject","Case subject is empty!","Le sujet de l'affaire n'est pas indiqué","¡El titulo del caso está vacío!"
"common.js.alert.noimagespecified","You haven't specify an image!","Vous avez omis de spécifier une illustration","¡No has especificado una imagen!"
"common.js.alert.passwdchngsuccess","Password changed successfully!","Changement du code d'accès réalisé avec succès","¡Contraseña cambiada exitosamente!"
"common.js.alert.passwdinconsistent","New password and confirm password are inconsistent!","Le nouveau code d'accès et sa confirmation ne coïncident pas","¡Nueva contraseña y confirmar contraseña no coinciden!"
"common.js.alert.passwdinvalid","Invalid password!","Code d'accès non valide","¡Contraseña inválida!"
"common.js.alert.pendingquestion","There are pending questions that author has not responded.
Are you sure you have completed the assignment and want to submit now?","Il existe des questions restées sans réponse de la part de l'auteur. Êtes-vous sûr d'avoir terminé le travail assigné et voulez-vous le remettre maintenant ? ","Hay preguntas pendientes que el autor no ha respondido. ¿Estás seguro de haber terminado la tarea y querer enviar ahora?"
"common.js.alert.prjnoselected","Project is not selected!","Le projet n'a pas été sélectionné !","¡No se ha seleccionado un proyecto!"
"common.js.alert.rolenoselected","Role is not selected!","Le rôle n'a pas été selectionné !","¡No se ha seleccionado un rol!"
"common.js.alert.submitindicators","Are you sure you want to do this? This action cannot be undone.","Êtes-vous sûr de présenter les indicateurs?","¿Está seguro de que quiere hacer esto? Esta acción no puede ser revertida"
"common.js.alert.successenhance","Your enhancement saved successfully!","Les améliorations apportées ont été sauvegardées","¡Tus mejoras se han guardado exitosamente!"
"common.js.alert.succssreview","Your review has been successfully saved!","Votre révision a été sauvegardée","¡Tu revisión se ha guardado con éxito!"
"common.js.alert.suggestedscore","Please provide your suggested scoring change as well as comments supporting your change!","Veuillez apporter un changement dans la qualification suggérée et  apportez les raisons qui motivent votre changement ! ","¡Por favor proporciona tu propuesta de cambio de calificación, así como comentarios que apoyen el cambio!"
"common.js.alert.sumbitassignment","Are you sure you want to do this? This action cannot be undone.
","Êtes-vous sûr d'avoir terminé le travail assigné et voulez-vous le remettre maintenant ? ","¿Estás seguro de haber terminado la tarea y querer enviarla ahora?"
"common.js.alert.sumitquestion","Are you sure to submit your questions now?","Êtes-vous certain de vouloir envoyer vos questions maintenant ? ","¿Estás seguro de querer enviar tus preguntas ahora?"
"common.js.alert.title.alert","Alert","Signal d'alarme","Alerta"
"common.js.alert.title.confirm","Confirmation","Confirmation","Confirmación"
"common.js.alert.title.error","Error","Erreur  ","Error"
"common.js.alert.title.info","Info","Information","Información"
"common.js.alert.title.prompt","Prompt","Aide-mémoire","Rápido"
"common.js.alert.title.sorry","Sorry","Désolé","Lo lamentamos"
"common.js.alert.title.success","Success","Avec succès","Éxito"
"common.js.alert.title.warn","Warn","Avertissement","Advertencia"
"common.js.alert.toolength","Too many characters! You can enter max 250 characters.","Trop de caractères. Vous ne pouvez introduire qu'un maximum de 250 caractères.","¡Demasiados caracteres! Puedes ingresar máximo 250 caracteres."
"common.js.alert.topictitle","Please input the topic title!","Veuillez introduire le titre du sujet traité !","¡Por favor ingresa el titulo del tema!"
"common.js.alert.undone","Are you sure?  This cannot be undone.","Êtes-vous sûr de vouloir exécuter cette action? Cette action est irréversible","¿Estás seguro? No se puede deshacer esta acción."
"common.js.alert.uploadsuccess","File upload successfully!.","Fichier téléchargé avec succès !.","Archivo subido exitosamente."
"common.js.alt.unblock","Click to unblock","Cliquez pour débloquer","Click para desbloquear"
"common.js.alert.required","* This field is required",,
"common.js.alert.required.multiplecheckbox","* Please select an option",,
"common.js.alert.required.checkbox","* This checkbox is required",,
"common.js.alert.invalid.integer","* Not a valid integer",,
"common.js.alert.invalid.positiveinteger","* Not a valid positive integer",,
"common.js.alert.invalid.float","* Invalid floating decimal number",,
"common.js.alert.required.selectOne","* No option selected",,
"common.js.alert.tablenotcompleted","Please complete the form fields of the table!",,
"common.js.assignment","Assigned To","Assigné à","Asignado a"
"common.js.ckedit.toolbar","MyToolbar","Ma barre d'outils","Mi barra de herramientas"
"common.js.ckedit.toolbar.anchor","Anchor","Ancrage","Anclar"
"common.js.ckedit.toolbar.bgcolor","BGColor","Couleur BG","Color del fondo"
"common.js.ckedit.toolbar.bold","Bold","en caractère gras","Negritas"
"common.js.ckedit.toolbar.bulletlist","BulletedList","Liste avec gros points de mise en évidence","Lista con viñetas"
"common.js.ckedit.toolbar.find","Find","Chercher","Encontrar"
"common.js.ckedit.toolbar.format","Format","Format","Formato"
"common.js.ckedit.toolbar.italic","Italic","en italique","Cursivas"
"common.js.ckedit.toolbar.link","Link","Relier","Vínculo"
"common.js.ckedit.toolbar.maximize","Maximize","Maximiser","Maximizar"
"common.js.ckedit.toolbar.numlist","NumberedList","Liste numérotée","Lista numerada"
"common.js.ckedit.toolbar.pastefromword","PasteFromWord","Coller le texte à partir de Word","Pegar desde Word"
"common.js.ckedit.toolbar.pastetxt","PasteText","Coller le texte","Pegar texto"
"common.js.ckedit.toolbar.print","Print","Imprimer","Imprimir"
"common.js.ckedit.toolbar.redo","Redo","Refaire","Rehacer"
"common.js.ckedit.toolbar.replace","Replace","Remplacer","Reemplazar"
"common.js.ckedit.toolbar.rmformat","RemoveFormat","Éliminer le format","Borrar formato"
"common.js.ckedit.toolbar.scayt","Scayt","Scayt","Scayt (revisar ortografía mientras escribes)"
"common.js.ckedit.toolbar.selectall","SelectAll","Sélectionner tout le texte","Seleccionar todo"
"common.js.ckedit.toolbar.source","Source","Source","Fuentes"
"common.js.ckedit.toolbar.spellchecker","SpellChecker","Vérifier l'orthographe","Corrector ortográfico"
"common.js.ckedit.toolbar.strike","Strike","Effacer","Tachado"
"common.js.ckedit.toolbar.underline","Underline","Souligner le mot","Subrayar"
"common.js.ckedit.toolbar.undo","Undo","Annuler","Deshacer"
"common.js.ckedit.toolbar.unlink","Unlink","Défaire le lien","Quitar vínculo"
"common.js.err.interval","Server internal error, please concact to your administrator!","Erreur du serveur interne. Veuillez contacter votre administrateur ! ","¡Error interno del servidor, por favor contacte a su administrador!"
"common.js.err.submitreview","Failed to submit your review because of internal error!","Échec de remise de votre article due à une erreur interne !","¡Falla al enviar tu opinión debido a un error interno!"
"common.js.goal_done","goal has passed",,"Tiempo Agotado"
"common.js.hint.role.list","display role list","Affichage de liste de rôles à jouer","Mostrar lista de roles"
"common.js.hint.team.list","display team list","Affichage de liste des équipes","Mostrar lista del equipo"
"common.js.hint.user.list","display user list","Affichage de liste d'utilisateurs","Mostrar lista de usuarios"
"common.js.i_want_this","I Want This","Je souhaiterais faire ce travail","Quiero esto"
"common.js.inqueue","IN QUEUE","En attente","EN FILA"
"common.js.msg.discussion","Discussion","Discussion","Discusión"
"common.js.msg.endassignment","End {0}'s assignment ""{1}"" on ""{2}""","Terminez l'assignation de {0} ""{1}"" sur ""{2}""","Terminar la tarea de {0} ""{1}"" el ""{2}""."
"common.js.msg.exitassignment","End Assignment","Fin du travail assigné","Salir de la tarea"
"common.js.msg.forcecomplete","FORCE COMPLETE: Reject changes but describe assignment as complete","EXIGENCE DE TERMINAISON FORCÉE : Refuse les changements mais considère le travail assigné comme terminé","FORZAR COMPLETAR: Rechazar cambios pero dar tarea por completada"
"common.js.msg.goToTop","Go to Top",,"Vaya al tope"
"common.js.msg.goToBottom","Go to Bottom",,"Vaya al fondo"
"common.js.msg.new","new:","nouveau:","nuevo:"
"common.js.msg.newdeadline","New Deadline","Nouveau délai","Nueva fecha límite"
"common.js.msg.partialsubmission","ACCEPT: Complete assignment and accept partial submission. ","ACCEPTATION: Terminez l'assignation du travail et acceptez des remises partielles du travail. ","ACEPTAR: Completar tarea y hacer envío parcial"
"common.js.msg.privatediscussion","Private Discussion","Discussion entamée par le personnel","Has seleccionado"
"common.js.msg.selected","You have selected:","Vous avez sélectionné: ","Conversación privada"
"common.js.msg.staffauthordiscussion","Staff / Author Discussion","Discussion entamée par le personnel / par l'auteur ","Discusión del personal/autor"
"common.js.msg.staffdiscussion","Private Discussion","Discussion entamée par le personnel","Discusión de personal"
"common.js.msg.staffnotes","Staff Notes","Notes du personnel","Notas de personal"
"common.js.msg.total","Total:","Total:","Total:"
"common.js.msg.usernotes","User Notes","Notes de l'utilisateur","Notas del usuario"
"common.js.msg.usertriggerlist","User Trigger List","Liste d'activation de l'utilisateur","Lista de activación de usuarios"
"common.js.msg.success_saved","Your changes are saved!",,"Se han guardado los cambios"
"common.js.msg.notedisabled","This note is DISABLED!",,
"common.js.msg.noteremoved","This note is REMOVED!",,
"common.js.no_one","NO ONE",,"Ninguno"
"common.js.peopleProfile.savePopup","By clicking Save you consent to the collection and processing (including
the disclosure and international transfer) of your Personal Information as
described in the Indaba Privacy Policy (http://getindaba.org/indaba-privacy-policy/).  In particular you consent to the transfer of your
Personal Information internationally as described in the Privacy Policy.
","En cliquant sur ""Sauvegarder"", vous consentez à ce que soient captées et
archivées vos informations personnelles ( y compris la divulgation de vos
coordonnées sur le réseau international), conformément aux conditions
stipulées dans la politique de confidentialité d'Indaba  (http://getindaba.org/indaba-privacy-policy). 
En particulier, vous donnez votre consentement à la transmission de vos informations personnelles sur
le réseau international, tel que l'indique la politique de confidentialité d'Indaba.","Al elegir Guardar aceptas la recopilación y el procesamiento de tu Información Personal (incluyendo la divulgación y la transferencia internacional) tal como se describe en la Política de Privacidad de Indaba (http://getindaba.org/indaba-
privacy-policy/). En particular aceptas que tu Información Personal se transfiera internacionalmente como se describe en la Política de Privacidad.





"
"common.js.return_to_queue","Return To Queue","Retour dans la file d'attente","Volver a la fila"
"common.js.subscribe_queue","subscribe this queue",,"Suscribir esta búsqueda"
"common.js.token.hint","Type in a search term","Tapez un mot de recherche","Coloque un término de búsqueda"
"common.js.token.noResult","No results","Recherche infructueuse","No hay resultados"
"common.js.token.search","Searching...","Recherche en cours…","Buscando..."
"common.js.unsubscribe_queue","unsubscribe this queue",,"Desuscribir esta búsqueda"
"common.label.action","ACTION","Action","Acción"
"common.label.adding","adding ...","en ajoutant …","agregando…"
"common.label.assigned","Assigned",,"Asignado"
"common.label.assignedcontent","ASSIGNED CONTENT","TEXTE ASSIGNÉ","CONTENIDO ASIGNADO"
"common.label.assigneduser","Assigned User","Utilisateur assigné","Usuario Asignado"
"common.label.attachedcontent","ATTACHED CONTENT","TEXTE EN PIÈCE JOINTE","CONTENIDO ADJUNTO"
"common.label.bio","Bio","Bio","Bio"
"common.label.case","CASE","AFFAIRE","Caso "
"common.label.casebody","Case Body","Corps de l'affaire","Cuerpo del caso"
"common.label.cases","Cases","Affaires ","Casos"
"common.label.casesubject","Case Object","Objet de l'affaire","Objeto del caso"
"common.label.claim_this","CLAIM THIS","APPROPRIATION DE CE TRAVAIL","RECLAMAR ESTO"
"common.label.closed","Closed","Fermé","Cerrado"
"common.label.completepercentage","% complete","% terminé","% completado"
"common.label.country","COUNTRY","PAYS","PAÍS"
"common.label.createtime","Create Time","Création d'horaires","Crear hora"
"common.label.deadline","DEADLINE","DÉLAI DE REMISE","FECHA LÍMITE"
"common.label.desc","Description","Description","Descripción"
"common.label.donepercent","% DONE","% RÉALISÉ","% REALIZADO"
"common.label.emailmsgdetaillevel","Email Message Detail Level","Niveau de détails du courriel","Nivel de detalle del correo electrónico"
"common.label.emailmsgdetaillevel.alert","Alert Only","uniquement Alerte","Sólo alerta"
"common.label.emailmsgdetaillevel.fullMsg","Full Message","Message complet","Mensaje completo"
"common.label.engageStatus","ENGAGE STATUS",,"Indicar estatus"
"common.label.estimate","ESTIMATE","ÉVALUATION","ESTIMADO"
"common.label.file","File","Fichier","Archivo"
"common.label.fire","Fire","Cibler","Activar"
"common.label.fireall","Fire All","Commande donnant le feu vert à l'assignation d'un projet","Iniciar todas"
"common.label.firstname","First Name","Prénom","Nombre"
"common.label.goal","GOAL","OBJET","OBJETIVO"
"common.label.history","HISTORY","ANTÉCÉDENT","HISTORIA"
"common.label.inflight","Inflight ",,"En proceso"
"common.label.lastname","Last Name","Nom de famille","Apellido"
"common.label.location","Location","Positionnement","Ubicación"
"common.label.mailaddr","Mailing Address","Adresse de la messagerie électronique","Dirección de correo"
"common.label.message","Message","Message","Mensaje"
"common.label.name","NAME","NOM","NOMBRE"
"common.label.nextdue","NEXT DUE","À REMETTRE SOUS PEU","PRÓXIMA ENTREGA"
"common.label.not_assigned","Not Assigned","Non assigné","No asignado"
"common.label.note","NOTE","REMARQUE","NOTA"
"common.label.open","Open","Ouvert","Abierto"
"common.label.opencases","OPEN CASES","AFFAIRES OUVERTES","CASOS ABIERTOS"
"common.label.over","Over",,"Tiempo agotado"
"common.label.owner","OWNER","AUTEUR","PROPIETARIO"
"common.label.peopleassigned","PEOPLE ASSIGNED","PERSONNES ASSIGNÉES","PERSONAS ASIGNADAS"
"common.label.priority","PRIORITY","PRIORITÉ","PRIORIDAD"
"common.label.project","Project","Projet","Proyecto"
"common.label.projectChoose","Choose Project ...","Sélectionner un projet…","Elegir proyecto"
"common.label.chooseUser","Choose a user ...",,
"common.label.queue_filter","Filters",,"Filtros"
"common.label.review","Review","Réviser","Revisar"
"common.label.reviews","Reviews","Révisions","Revisiones"
"common.label.reviewTips","Review, Intended for Publication","Révision, destinée à la publication","Revisión, destinada a la publicación"
"common.label.role","Role","Rôle","Rol"
"common.label.status","STATUS","STATUT","ESTATUS"
"common.label.subject","Subject","Sujet","Titulo"
"common.label.tags","TAGS","ÉTIQUETTES","ETIQUETAS"
"common.label.task","TASK","TÂCHE","TAREA"
"common.label.taskStatus","TASK STATUS",,"Estatus de la tarea"
"common.label.teamcontent","Team Content","Contenu du texte de l'équipe","Contenido de equipo"
"common.label.teams","TEAMS","ÉQUIPES","EQUIPOS"
"common.label.time","TIME","DURÉE","HORA"
"common.label.title","TITLE","TITRE","TITULO"
"common.label.topictitle","TOPIC TITLE","TITRE DU SUJET TRAITÉ","TÍTULO DEL TEMA"
"common.label.username","User Name","Nom de l'utilisateur","Nombre del usuario"
"common.label.username.check","Checking the validity of username now.","Vérification du nom de l'utilisateur en cours","Comprobando la validez del nombre de usuario."
"common.label.username.input","Please input user name","Veuillez introduire le nom de l'utilisateur","Por favor ingresa el nombre del usuario"
"common.label.username.null","User name can't be empty!","La case destinée au nom de l'utilisteur doit être obligatoirement remplie","¡El nombre de usuario no puede quedar vacío!"
"common.label.validityuser","Validity username!","Validité du nom de l'utilisateur ","¡Validar nombre de usuario!"
"common.label.view","VIEW","VISIONNER","VISTA"
"common.label.starting","Starting",,"Comenzando"
"common.label.willdo","{0} will {1}","{0} sera {1}","{0} será {1}"
"common.label.you","you","vous","tu"
"common.label.progress","PROGRESS",,
"common.label.due","DUE",,
"common.label.stop","STOP",,
"common.label.discussions","Discussions",,
"common.label.notes","Notes",,
"common.label.groupdiscussions","Group Discussions",,
"common.label.details","Details",,
"common.label.assign","Assign",,
"common.label.what","What",,
"common.label.due2","Due",,
"common.msg.noactivity","no activity",,
"common.msg.noflags","No flags.",,
"common.msg.loading","loading...",,
"common.msg.viewed","viewed",,
"common.msg.working","working",,
"common.msg.done","done",,
"common.msg.actions","Actions",,"Acciones"
